2,4,4
10,14,4
20,4,2
2,50,1
2,4,4
10,14,4
20,4,2
2,50,1
196,318,4
186,328,4
22,568,1
244,842,1
166,65,5
298,591,5
115,172,4
253,401,4
305,339,5
6,746,4
62,242,3
286,201,1
200,68,1
210,7,4
224,98,2
303,101,5
122,54,5
194,815,4
291,237,4
234,218,4
119,30,4
167,2,3
299,258,5
291,202,5
308,623,4
95,334,5
38,476,5
102,344,4
63,145,4
160,56,1
50,89,4
301,141,3
225,576,4
290,264,4
97,133,4
157,153,4
181,382,3
278,813,3
276,72,3
7,146,5
10,507,2
284,367,5
201,468,2
276,143,3
287,96,4
246,595,3
242,11,5
249,101,2
99,98,4
178,520,3
251,82,4
81,209,3
260,427,2
25,222,1
59,177,2
72,118,5
87,322,4
290,501,5
42,79,5
292,3,4
115,695,1
20,198,3
201,189,4
13,237,4
246,385,5
138,767,4
167,705,2
60,546,5
57,87,4
223,554,5
189,64,4
243,135,5
92,357,4
246,484,4
194,508,5
241,303,3
178,673,4
254,77,3
293,215,4
127,705,5
225,452,4
299,15,4
225,64,5
276,304,5
291,749,4
222,829,4
267,218,4
42,204,4
11,129,2
95,153,4
8,33,5
162,160,3
87,321,4
279,595,4
145,343,3
119,508,3
62,323,4
62,227,3
28,191,4
135,903,5
32,183,2
90,724,5
286,430,3
293,117,4
216,134,4
166,751,5
250,212,5
271,256,4
160,662,3
265,2,2
198,84,5
42,106,5
168,410,3
110,56,4
58,79,3
90,237,2
271,271,3
62,106,2
279,26,4
237,229,4
94,649,4
128,89,4
298,302,3
44,51,5
264,96,2
194,197,3
72,678,3
222,199,5
250,709,5
41,169,3
224,597,4
82,151,5
262,40,4
293,258,5
216,139,3
250,333,3
59,111,1
286,577,4
244,378,4
7,425,1
174,959,2
87,122,3
194,840,4
82,175,5
13,321,3
13,286,3
244,323,3
305,558,3
95,96,5
43,344,3
299,66,4
57,206,5
84,402,5
269,640,4
299,522,3
194,265,4
160,62,3
99,12,3
10,291,5
259,20,5
85,286,5
303,462,5
213,612,5
121,117,2
90,758,1
49,845,4
42,163,4
155,145,2
68,405,5
172,250,2
19,823,4
268,186,1
5,731,4
305,71,3
44,781,1
43,176,4
279,186,4
80,118,4
254,815,3
298,78,1
279,197,5
66,436,3
18,631,5
268,716,5
99,188,1
13,699,5
26,604,4
7,392,3
222,501,3
200,97,4
119,436,4
213,135,5
276,173,1
94,460,4
130,498,4
38,715,2
160,17,4
293,163,4
26,315,2
130,505,5
92,515,1
256,196,1
1,15,4
72,56,4
56,279,2
13,80,5
15,238,4
92,649,4
207,60,5
292,325,2
232,407,3
251,1,4
224,228,5
181,531,5
259,471,3
305,587,2
52,92,4
161,176,4
148,288,3
125,147,5
97,111,4
58,558,4
83,47,3
90,194,1
272,217,4
194,259,3
125,596,4
110,144,3
299,960,5
151,137,5
269,328,5
6,480,3
54,211,4
303,38,4
16,160,3
301,20,5
276,404,5
305,305,5
194,210,4
91,278,5
87,568,4
294,770,3
286,191,4
200,252,4
229,156,4
178,110,5
303,107,5
62,430,3
207,350,5
92,480,3
301,246,1
36,419,2
70,431,5
63,475,4
28,182,1
279,357,4
250,50,3
14,526,5
299,303,3
194,294,4
303,365,3
119,135,1
295,187,2
268,289,3
268,229,2
66,486,4
233,185,3
83,712,1
214,94,4
192,742,5
100,762,4
268,732,5
301,168,4
307,550,3
234,174,5
83,200,5
181,849,4
297,54,2
38,406,5
7,150,42,4,4
10,14,4
20,4,2
2,50,1
196,318,4
186,328,4
22,568,1
244,842,1
166,65,5
298,591,5
115,172,4
253,401,4
305,339,5
6,746,4
62,242,3
286,201,1
200,68,1
210,7,4
224,98,2
303,101,5
122,54,5
194,815,4
291,237,4
234,218,4
119,30,4
167,2,3
299,258,5
291,202,5
308,623,4
95,334,5
38,476,5
102,344,4
63,145,4
160,56,1
50,89,4
301,141,3
225,576,4
290,264,4
97,133,4
157,153,4
181,382,3
278,813,3
276,72,3
7,146,5
10,507,2
284,367,5
201,468,2
276,143,3
287,96,4
246,595,3
242,11,5
249,101,2
99,98,4
178,520,3
251,82,4
81,209,3
260,427,2
25,222,1
59,177,2
72,118,5
87,322,4
290,501,5
42,79,5
292,3,4
115,695,1
20,198,3
201,189,4
13,237,4
246,385,5
138,767,4
167,705,2
60,546,5
57,87,4
223,554,5
189,64,4
243,135,5
92,357,4
246,484,4
194,508,5
241,303,3
178,673,4
254,77,3
293,215,4
127,705,5
225,452,4
299,15,4
225,64,5
276,304,5
291,749,4
222,829,4
267,218,4
42,204,4
11,129,2
95,153,4
8,33,5
162,160,3
87,321,4
279,595,4
145,343,3
119,508,3
62,323,4
62,227,3
28,191,4
135,903,5
32,183,2
90,724,5
286,430,3
293,117,4
216,134,4
166,751,5
250,212,5
271,256,4
160,662,3
265,2,2
198,84,5
42,106,5
168,410,3
110,56,4
58,79,3
90,237,2
271,271,3
62,106,2
279,26,4
237,229,4
94,649,4
128,89,4
298,302,3
44,51,5
264,96,2
194,197,3
72,678,3
222,199,5
250,709,5
41,169,3
224,597,4
82,151,5
262,40,4
293,258,5
216,139,3
250,333,3
59,111,1
286,577,4
244,378,4
7,425,1
174,959,2
87,122,3
194,840,4
82,175,5
13,321,3
13,286,3
244,323,3
305,558,3
95,96,5
43,344,3
299,66,4
57,206,5
84,402,5
269,640,4
299,522,3
194,265,4
160,62,3
99,12,3
10,291,5
259,20,5
85,286,5
303,462,5
213,612,5
121,117,2
90,758,1
49,845,4
42,163,4
155,145,2
68,405,5
172,250,2
19,823,4
268,186,1
5,731,4
305,71,3
44,781,1
43,176,4
279,186,4
80,118,4
254,815,3
298,78,1
279,197,5
66,436,3
18,631,5
268,716,5
99,188,1
13,699,5
26,604,4
7,392,3
222,501,3
200,97,4
119,436,4
213,135,5
276,173,1
94,460,4
130,498,4
38,715,2
160,17,4
293,163,4
26,315,2
130,505,5
92,515,1
256,196,1
1,15,4
72,56,4
56,279,2
13,80,5
15,238,4
92,649,4
207,60,5
292,325,2
232,407,3
251,1,4
224,228,5
181,531,5
259,471,3
305,587,2
52,92,4
161,176,4
148,288,3
125,147,5
97,111,4
58,558,4
83,47,3
90,194,1
272,217,4
194,259,3
125,596,4
110,144,3
299,960,5
151,137,5
269,328,5
6,480,3
54,211,4
303,38,4
16,160,3
301,20,5
276,404,5
305,305,5
194,210,4
91,278,5
87,568,4
294,770,3
286,191,4
200,252,4
229,156,4
178,110,5
303,107,5
62,430,3
207,350,5
92,480,3
301,246,1
36,419,2
70,431,5
63,475,4
28,182,1
279,357,4
250,50,3
14,526,5
299,303,3
194,294,4
303,365,3
119,135,1
295,187,2
268,289,3
268,229,2
66,486,4
233,185,3
83,712,1
214,94,4
192,742,5
100,762,4
268,732,5
301,168,4
307,550,3
234,174,5
83,200,5
181,849,4
297,54,2
38,406,5
7,150,4
