14,0,127303
15,1,873410
1,24
2,53
3,23
4,24
5,33
6,42
7,57
8,36
9,29
10,53
11,39
12,28
13,47
14,45
15,49
16,21
17,30
18,35
19,40
20,42
21,26
22,25
23,30
24,21
25,39
26,49
27,40
28,32
29,41
30,7|
31,24
32,28
33,23
34,38
35,20
36,19
37,23
38,28
39,41
40,38
41,33
42,30
43,29
44,26
45,29
46,27
47,53
48,45
49,23
50,21
51,28
52,18
53,26
54,22
55,37
56,25
57,16
58,27
59,49
60,50
61,36
62,27
63,31
64,32
65,51
66,23
67,17
68,19
69,24
70,27
71,39
72,48
73,24
74,39
75,24
76,20
77,30
78,26
79,39
80,34
81,21
82,50
83,40
84,32
85,51
86,26
87,47
88,49
89,43
90,60
91,55
92,32
93,48
94,26
95,31
96,25
97,43
98,49
99,20196,1,881250949
186,0,891717742
22,1,878887116
244,0,880606923
166,1,886397596
298,1,884182806
115,0,881171488
253,1,891628467
305,0,886324817
6,1,883603013
62,0,879372434
286,1,879781125
200,1,876042340
210,1,891035994
224,1,888104457
303,1,879485318
122,1,879270459
194,0,879539794
291,1,874834944
234,0,892079237
119,1,886176814
167,1,892738452
299,1,877881320
291,0,874833878
308,1,887736532
95,0,879196566
38,1,892430094
102,0,883748450
63,1,875747401
160,1,876861185
50,1,877052329
301,1,882075827
225,1,879539727
290,1,880731963
97,1,884238860
157,1,886890835
181,1,878962623
278,1,891295330
276,1,874791932
7,1,891350932
10,1,877888877
284,1,885329322
201,0,884114233
276,1,874791805
287,1,875333916
246,1,884921594
242,1,879741196
249,1,879641194
99,1,886519097
178,1,882823437
251,1,886271884
81,0,876535131
260,1,890618898
25,1,885853415
59,1,888205088
72,0,880037164
87,1,879877127
290,1,880474293
42,1,881107687
292,1,881103977
115,1,881171009
20,1,879667584
201,1,884112673
13,1,882141053
246,1,884920949
138,1,879024232
167,1,892738341
60,1,883326620
57,1,883698581
223,1,891550094
189,1,893277702
243,1,879987440
92,1,890251826
246,1,884923047
194,1,879546723
241,0,887249482
178,1,882823954
254,1,886475558
293,1,888906576
127,1,884364867
225,1,879539643
299,1,878192429
225,1,879540748
276,1,874791025
291,1,874835091
222,1,878183381
267,1,878971773
42,1,881108684
11,1,891903862
95,1,888954412
8,1,879361873
162,1,877635573
87,1,879876194
279,1,875296291
145,0,885557505
119,1,874781198
62,1,879373848
62,1,879375537
28,1,881961214
135,1,879857765
32,1,883709863
90,1,891383835
286,1,877531942
293,1,888905170
216,1,880234639
166,1,886397722
250,1,878090499
271,1,885848672
160,1,876860807
265,1,875320714
198,1,884207492
42,1,881107178
168,1,884288058
110,1,886987260
58,1,884304936
90,1,891384754
271,1,885844430
62,1,879373460
279,1,881375854
237,1,879376641
94,1,891720887
128,1,879966895
298,1,884182806
44,1,878347874
264,1,886122352
194,0,879524643
72,1,880037702
222,1,883815120
250,1,878089182
41,1,890687042
224,1,888082216
82,1,878769629
262,1,879791710
293,1,888904884
216,1,880245029
250,1,878092059
59,1,888205300
286,1,877533771
244,1,880605185
7,1,891352010
174,1,886434402
87,1,879876734
194,0,879551380
82,0,884714402
13,0,882139746
13,1,884538403
244,0,880605157
305,1,886323090
95,0,888954930
43,0,883955745
299,1,889502823
57,1,883698454
84,1,883452363
269,1,891449922
299,1,877878184
194,1,879525876
160,1,876860807
99,1,885678247
10,1,877886846
259,1,874724988
85,1,879456350
303,1,879467295
213,1,878870987
121,1,891387947
90,1,891383204
49,0,888067405
42,1,881108425
155,0,879371261
68,1,876973939
172,1,875537965
19,1,885412840
268,1,875744136
1,1,875636053
305,0,886324028
44,1,883612356
43,1,875975656
279,1,875298353
80,1,887401701
254,1,886472768
298,1,884183336
279,1,892174404
66,1,883601324
18,1,880130193
268,0,875542174
99,1,885680138
13,1,881515011
26,1,891347949
7,1,891353086
222,1,878183481
200,1,884128554
119,1,876923913
213,1,878955442
